ROTA;DIREÇÃO;TURNO;CAPACIDADE;ALOCADOS
AFERIÇÃO 01 - DIVERSOS VC IDA;Ida;Diversos;15;7
AFERIÇÃO 01 - DIVERSOS VC VOLTA;Volta;Diversos;15;6
BOMBEIRO 01 - DIVERSOS TV IDA;Ida;Diversos;15;5
BOMBEIRO 01 - DIVERSOS TV VOLTA;Volta;Diversos;15;7
HINES 01 - 2T NORMAL TV IDA;Ida;Diversos;15;4
HINES 01 - 2T NORMAL TV VOLTA;Volta;Diversos;15;4
HINES 01 - ADM TV IDA;Ida;Diversos;15;6
HINES 01 - ADM TV VOLTA;Volta;Diversos;15;7
HINES 02 - 2T NORMAL TV IDA;Ida;Diversos;15;3
HINES 02 - 2T NORMAL TV VOLTA;Volta;Diversos;15;4
HINES 02 - ADM TV IDA;Ida;Diversos;15;11
HINES 02 - ADM TV VOLTA;Volta;Diversos;15;11
INTERNA - DIVERSOS VC IDA;Ida;Diversos;31;16
ONIBUS KM 48 - DIVERSOS VC IDA;Ida;Diversos;44;21
ONIBUS KM 48 - DIVERSOS VC VOLTA;Volta;Diversos;44;21
ROTA 01 - 1T ESPECIAL VC IDA;Ida;1T Especial;22;24
ROTA 01 - 1T ESPECIAL VC VOLTA;Volta;1T Especial;22;27
ROTA 01 - 1T ESPECIAL XX P2 IDA;Ida;1T ESPECIAL P2;22;15
ROTA 01 - 1T ESPECIAL XX P2 VOLTA;Volta;1T ESPECIAL P2;22;14
ROTA 01 - 2T ESPECIAL VC IDA;Ida;2T Especial;32;30
ROTA 01 - 2T ESPECIAL VC VOLTA;Volta;2T Especial;32;11
ROTA 01 - 2T ESPECIAL XX P2 IDA;Ida;2T ESPECIAL P2;22;14
ROTA 01 - 2T ESPECIAL XX P2 VOLTA;Volta;2T ESPECIAL P2;22;14
ROTA 01 - 2T NORMAL JC IDA;Ida;2T Normal LSL;31;24
ROTA 01 - 2T NORMAL JC VOLTA;Volta;2T Normal LSL;31;24
ROTA 01 - 2T NORMAL LSL XX P2 IDA;Ida;2T NORMAL LSL P2;32;28
ROTA 01 - 2T NORMAL LSL XX P2 VOLTA;Volta;2T NORMAL LSL P2;32;28
ROTA 01 - 2T NORMAL VC IDA;Ida;2T Normal;32;34
ROTA 01 - 2T NORMAL VC VOLTA;Volta;2T Normal;32;34
ROTA 01 - 2T NORMAL XX P2 IDA;Ida;2T NORMAL P2;22;17
ROTA 01 - 2T NORMAL XX P2 VOLTA;Volta;2T NORMAL P2;32;17
ROTA 01 - 3T ESPECIAL VC IDA;Ida;3T Especial;32;30
ROTA 01 - 3T ESPECIAL VC VOLTA;Volta;3T Especial;32;33
ROTA 01 - 3T ESPECIAL XX P2 IDA;Ida;3T ESPECIAL P2;22;14
ROTA 01 - 3T ESPECIAL XX P2 VOLTA;Volta;3T ESPECIAL P2;22;14
ROTA 01 - ADM JC IDA;Ida;ADM LSL;44;43
ROTA 01 - ADM JC VOLTA;Volta;ADM LSL;44;38
ROTA 01 - ADM LSL XX P2 IDA;Ida;ADM LSL P2;32;14
ROTA 01 - ADM LSL XX P2 VOLTA;Volta;ADM LSL P2;32;0
ROTA 01 - ADM TM VOLTA;Volta;ADM;44;38
ROTA 01 - ADM VC IDA;Ida;ADM;48;45
ROTA 01 - ADM XX P2 IDA;Ida;ADM P2;44;39
ROTA 01 - ADM XX P2 VOLTA;Volta;ADM P2;32;23
ROTA 01 AGRÍCOLA - DIVERSOS VC IDA;Ida;Diversos;15;0
ROTA 01 AGRÍCOLA - DIVERSOS VC VOLTA;Volta;Diversos;15;0
ROTA 01 - APRENDIZ ED IDA;Ida;Aprendiz;22;13
ROTA 01 - APRENDIZ ED VOLTA;Volta;Aprendiz;22;14
ROTA 01 CETH - 2T NORMAL VC IDA;Ida;Diversos;16;2
ROTA 01 CETH - 2T NORMAL VC VOLTA;Volta;Diversos;16;2
ROTA 01 CETH - ADM VC IDA;Ida;Diversos;16;5
ROTA 01 CETH - ADM VC VOLTA;Volta;Diversos;16;5
ROTA 01 - CRECHE 1T ESPECIAL VC VOLTA;Volta;Creche 1T Especial;15;6
ROTA 01 - CRECHE ADM ED IDA;Ida;Creche ADM;22;5
ROTA 01 - CRECHE ADM ED VOLTA;Volta;Creche ADM;22;8
ROTA 01 - ESTAGIARIO VC VOLTA;Volta;Estagiário ;22;15
ROTA 01 TRANSBORDO - DIVERSOS VC IDA;Ida;Diversos;44;63
ROTA 02 - 1T ESPECIAL VC IDA;Ida;1T Especial;32;27
ROTA 02 - 1T ESPECIAL VC VOLTA;Volta;1T Especial;32;30
ROTA 02 - 1T ESPECIAL XX P2 IDA;Ida;1T ESPECIAL P2;32;22
ROTA 02 - 1T ESPECIAL XX P2 VOLTA;Volta;1T ESPECIAL P2;32;22
ROTA 02 - 2T ESPECIAL VC IDA;Ida;2T Especial;32;30
ROTA 02 - 2T ESPECIAL VC VOLTA;Volta;2T Especial;32;30
ROTA 02 - 2T ESPECIAL XX P2 IDA;Ida;2T ESPECIAL P2;22;15
ROTA 02 - 2T ESPECIAL XX P2 VOLTA;Volta;2T ESPECIAL P2;22;15
ROTA 02 - 2T NORMAL JC IDA;Ida;2T Normal LSL;44;35
ROTA 02 - 2T NORMAL JC VOLTA;Volta;2T Normal LSL;44;35
ROTA 02 - 2T NORMAL LSL XX P2 IDA;Ida;2T NORMAL LSL P2;22;17
ROTA 02 - 2T NORMAL LSL XX P2 VOLTA;Volta;2T NORMAL LSL P2;22;17
ROTA 02 - 2T NORMAL VC IDA;Ida;2T Normal;32;30
ROTA 02 - 2T NORMAL VC VOLTA;Volta;2T Normal;32;30
ROTA 02 - 2T NORMAL XX P2 IDA;Ida;2T NORMAL P2;22;19
ROTA 02 - 2T NORMAL XX P2 VOLTA;Volta;2T NORMAL P2;32;19
ROTA 02 - 3T ESPECIAL VC IDA;Ida;3T Especial;32;27
ROTA 02 - 3T ESPECIAL VC VOLTA;Volta;3T Especial;32;27
ROTA 02 - 3T ESPECIAL XX P2 IDA;Ida;3T ESPECIAL P2;22;16
ROTA 02 - 3T ESPECIAL XX P2 VOLTA;Volta;3T ESPECIAL P2;22;0
ROTA 02 - ADM JC IDA;Ida;ADM LSL;44;52
ROTA 02 - ADM JC VOLTA;Volta;ADM LSL;44;49
ROTA 02 - ADM LSL XX P2 IDA;Ida;ADM LSL P2;44;34
ROTA 02 - ADM LSL XX P2 VOLTA;Volta;ADM LSL P2;44;34
ROTA 02 - ADM VC IDA;Ida;ADM;44;41
ROTA 02 - ADM VC VOLTA;Volta;ADM;44;41
ROTA 02 - ADM XX P2 IDA;Ida;ADM P2;32;28
ROTA 02 - ADM XX P2 VOLTA;Volta;ADM P2;32;20
ROTA 02 AGRÍCOLA - DIVERSOS VC IDA;Ida;Diversos;15;0
ROTA 02 AGRÍCOLA - DIVERSOS VC VOLTA;Volta;Diversos;15;0
ROTA 02 - APOIO TV IDA;Ida;ADM;32;2
ROTA 02 - APRENDIZ ED VOLTA;Volta;Aprendiz;22;25
ROTA 02 - APRENDIZ VC IDA;Ida;Aprendiz;15;10
ROTA 02 CETH - 2T NORMAL VC IDA;Ida;Diversos;15;1
ROTA 02 CETH - 2T NORMAL VC VOLTA;Volta;Diversos;16;1
ROTA 02 CETH - ADM VC IDA;Ida;Diversos;16;3
ROTA 02 CETH - ADM VC VOLTA;Volta;Diversos;16;3
ROTA 02 - CRECHE 1T ESPECIAL VC VOLTA;Volta;Creche 1T Especial;15;4
ROTA 02 - CRECHE ADM ED IDA;Ida;Creche ADM;22;8
ROTA 02 - CRECHE ADM ED VOLTA;Volta;Creche ADM;22;5
ROTA 02 - ESTAGIARIO TM VOLTA;Volta;Estagiário ;22;22
ROTA 02 TRANSBORDO - DIVERSOS VC IDA;Ida;Diversos;44;35
ROTA 03 - 1T ESPECIAL VC IDA;Ida;1T Especial;32;34
ROTA 03 - 1T ESPECIAL VC VOLTA;Volta;1T Especial;32;33
ROTA 03 - 1T ESPECIAL XX P2 IDA;Ida;1T ESPECIAL P2;32;17
ROTA 03 - 1T ESPECIAL XX P2 VOLTA;Volta;1T ESPECIAL P2;32;17
ROTA 03 - 2T ESPECIAL VC IDA;Ida;2T Especial;32;31
ROTA 03 - 2T ESPECIAL VC VOLTA;Volta;2T Especial;32;30
ROTA 03 - 2T ESPECIAL XX P2 IDA;Ida;2T ESPECIAL P2;22;13
ROTA 03 - 2T ESPECIAL XX P2 VOLTA;Volta;2T ESPECIAL P2;22;13
ROTA 03 - 2T NORMAL JC IDA;Ida;2T Normal LSL;31;27
ROTA 03 - 2T NORMAL JC VOLTA;Volta;2T Normal LSL;31;26
ROTA 03 - 2T NORMAL LSL XX P2 IDA;Ida;2T NORMAL LSL P2;44;27
ROTA 03 - 2T NORMAL LSL XX P2 VOLTA;Volta;2T NORMAL LSL P2;44;27
ROTA 03 - 2T NORMAL VC IDA;Ida;2T Normal;32;33
ROTA 03 - 2T NORMAL VC VOLTA;Volta;2T Normal;32;33
ROTA 03 - 2T NORMAL XX P2 IDA;Ida;2T NORMAL P2;32;26
ROTA 03 - 2T NORMAL XX P2 VOLTA;Volta;2T NORMAL P2;32;26
ROTA 03 - 3T ESPECIAL VC IDA;Ida;3T Especial;22;22
ROTA 03 - 3T ESPECIAL VC VOLTA;Volta;3T Especial;22;22
ROTA 03 - 3T ESPECIAL XX P2 IDA;Ida;3T ESPECIAL P2;32;24
ROTA 03 - 3T ESPECIAL XX P2 VOLTA;Volta;3T ESPECIAL P2;32;25
ROTA 03 - ADM JC IDA;Ida;ADM LSL;31;24
ROTA 03 - ADM JC VOLTA;Volta;ADM LSL;31;23
ROTA 03 - ADM LSL XX P2 IDA;Ida;ADM LSL P2;22;15
ROTA 03 - ADM LSL XX P2 VOLTA;Volta;ADM LSL P2;22;15
ROTA 03 - ADM VC IDA;Ida;ADM;44;41
ROTA 03 - ADM VC VOLTA;Volta;ADM;44;40
ROTA 03 - ADM XX P2 IDA;Ida;ADM P2;32;26
ROTA 03 - ADM XX P2 VOLTA;Volta;ADM P2;32;18
ROTA 03 - APRENDIZ ED IDA;Ida;Aprendiz;22;10
ROTA 03 - APRENDIZ TM VOLTA;Volta;Aprendiz;22;17
ROTA 03 CETH - ADM VC IDA;Ida;Diversos;16;2
ROTA 03 CETH - ADM VC VOLTA;Volta;Diversos;16;2
ROTA 03 - CRECHE 1T ESPECIAL VC VOLTA;Volta;Creche 1T Especial;15;8
ROTA 03 - CRECHE ADM TV IDA;Ida;Creche ADM;15;7
ROTA 03 - CRECHE ADM TV VOLTA;Volta;Creche ADM;15;5
ROTA 03 TRANSBORDO - DIVERSOS VC IDA;Ida;Diversos;44;79
ROTA 03 TRANSBORDO - DIVERSOS VC VOLTA;Volta;Diversos;44;52
ROTA 04 - 1T ESPECIAL ED IDA;Ida;1T Especial;32;17
ROTA 04 - 1T ESPECIAL ED VOLTA;Volta;1T Especial;32;29
ROTA 04 - 1T ESPECIAL XX P2 IDA;Ida;1T ESPECIAL P2;22;12
ROTA 04 - 1T ESPECIAL XX P2 VOLTA;Volta;1T ESPECIAL P2;22;12
ROTA 04 - 2T ESPECIAL TM IDA;Ida;2T Especial;22;22
ROTA 04 - 2T ESPECIAL TM VOLTA;Volta;2T Especial;22;23
ROTA 04 - 2T ESPECIAL XX P2 IDA;Ida;2T ESPECIAL P2;22;13
ROTA 04 - 2T ESPECIAL XX P2 VOLTA;Volta;2T ESPECIAL P2;22;13
ROTA 04 - 2T NORMAL JC IDA;Ida;2T Normal LSL;44;35
ROTA 04 - 2T NORMAL JC VOLTA;Volta;2T Normal LSL;44;35
ROTA 04 - 2T NORMAL LSL XX P2 IDA;Ida;2T NORMAL LSL P2;22;13
ROTA 04 - 2T NORMAL LSL XX P2 VOLTA;Volta;2T NORMAL LSL P2;22;13
ROTA 04 - 2T NORMAL VC IDA;Ida;2T Normal;32;35
ROTA 04 - 2T NORMAL VC VOLTA;Volta;2T Normal;32;31
ROTA 04 - 2T NORMAL XX P2 IDA;Ida;2T NORMAL P2;22;19
ROTA 04 - 2T NORMAL XX P2 VOLTA;Volta;2T NORMAL P2;32;18
ROTA 04 - 3T ESPECIAL VC IDA;Ida;3T Especial;32;33
ROTA 04 - 3T ESPECIAL VC VOLTA;Volta;3T Especial;32;31
ROTA 04 - 3T ESPECIAL XX P2 IDA;Ida;3T ESPECIAL P2;32;18
ROTA 04 - 3T ESPECIAL XX P2 VOLTA;Volta;3T ESPECIAL P2;22;18
ROTA 04 - ADM ED VOLTA;Volta;ADM;32;27
ROTA 04 - ADM JC IDA;Ida;ADM LSL;44;29
ROTA 04 - ADM JC VOLTA;Volta;ADM LSL;44;29
ROTA 04 - ADM LSL XX P2 IDA;Ida;ADM LSL P2;22;10
ROTA 04 - ADM LSL XX P2 VOLTA;Volta;ADM LSL P2;22;10
ROTA 04 - ADM VC IDA;Ida;ADM;44;33
ROTA 04 - ADM XX P2 IDA;Ida;ADM P2;32;23
ROTA 04 - ADM XX P2 VOLTA;Volta;ADM P2;32;27
ROTA 04 - APRENDIZ ED IDA;Ida;Aprendiz;22;11
ROTA 04 - APRENDIZ TM VOLTA;Volta;Aprendiz;32;37
ROTA 04 - CRECHE 1T ESPECIAL VC VOLTA;Volta;Creche 1T Especial;15;6
ROTA 04 - CRECHE ADM VC IDA;Ida;Creche ADM;22;9
ROTA 04 - CRECHE ADM VC VOLTA;Volta;Creche ADM;15;3
ROTA 04 - ESTAGIARIO TM VOLTA;Volta;Estagiário ;22;24
ROTA 04 TRANSBORDO - DIVERSOS VC VOLTA;Volta;Diversos;44;59
ROTA 05 - 1T ESPECIAL TM IDA;Ida;1T Especial;32;23
ROTA 05 - 1T ESPECIAL TM VOLTA;Volta;1T Especial;32;39
ROTA 05 - 1T ESPECIAL XX P2 IDA;Ida;1T ESPECIAL P2;32;17
ROTA 05 - 1T ESPECIAL XX P2 VOLTA;Volta;1T ESPECIAL P2;22;17
ROTA 05 - 2T ESPECIAL ED IDA;Ida;2T Especial;32;33
ROTA 05 - 2T ESPECIAL ED VOLTA;Volta;2T Especial;32;33
ROTA 05 - 2T ESPECIAL XX P2 IDA;Ida;2T ESPECIAL P2;22;13
ROTA 05 - 2T ESPECIAL XX P2 VOLTA;Volta;2T ESPECIAL P2;22;13
ROTA 05 - 2T NORMAL JC IDA;Ida;2T Normal LSL;44;35
ROTA 05 - 2T NORMAL JC VOLTA;Volta;2T Normal LSL;44;32
ROTA 05 - 2T NORMAL LSL XX P2 IDA;Ida;2T NORMAL LSL P2;22;16
ROTA 05 - 2T NORMAL LSL XX P2 VOLTA;Volta;2T NORMAL LSL P2;22;16
ROTA 05 - 2T NORMAL TM IDA;Ida;2T Normal;32;32
ROTA 05 - 2T NORMAL TM VOLTA;Volta;2T Normal;32;32
ROTA 05 - 2T NORMAL XX P2 IDA;Ida;2T NORMAL P2;22;17
ROTA 05 - 2T NORMAL XX P2 VOLTA;Volta;2T NORMAL P2;32;17
ROTA 05 - 3T ESPECIAL VC IDA;Ida;3T Especial;32;27
ROTA 05 - 3T ESPECIAL VC VOLTA;Volta;3T Especial;32;27
ROTA 05 - 3T ESPECIAL XX P2 IDA;Ida;3T ESPECIAL P2;32;25
ROTA 05 - 3T ESPECIAL XX P2 VOLTA;Volta;3T ESPECIAL P2;32;25
ROTA 05 - ADM JC IDA;Ida;ADM LSL;44;39
ROTA 05 - ADM JC VOLTA;Volta;ADM LSL;44;38
ROTA 05 - ADM LSL XX P2 IDA;Ida;ADM LSL P2;32;19
ROTA 05 - ADM LSL XX P2 VOLTA;Volta;ADM LSL P2;32;19
ROTA 05 - ADM VC IDA;Ida;ADM;44;33
ROTA 05 - ADM VC VOLTA;Volta;ADM;15;10
ROTA 05 - ADM XX P2 IDA;Ida;ADM P2;32;26
ROTA 05 - ADM XX P2 VOLTA;Volta;ADM P2;32;27
ROTA 05 - APRENDIZ TM VOLTA;Volta;Aprendiz;22;16
ROTA 05 - APRENDIZ VC IDA;Ida;Aprendiz;15;11
ROTA 05 - CRECHE 1T ESPECIAL VC VOLTA;Volta;Creche 1T Especial;15;7
ROTA 05 - CRECHE ADM VC IDA;Ida;Creche ADM;22;12
ROTA 05 - CRECHE ADM VC VOLTA;Volta;Creche ADM;22;10
ROTA 05 - ESTAGIARIO ED VOLTA;Volta;Estagiário ;15;20
ROTA 06 - 1T ESPECIAL TM IDA;Ida;1T Especial;32;24
ROTA 06 - 1T ESPECIAL TM VOLTA;Volta;1T Especial;32;28
ROTA 06 - 1T ESPECIAL XX P2 IDA;Ida;1T ESPECIAL P2;22;13
ROTA 06 - 1T ESPECIAL XX P2 VOLTA;Volta;1T ESPECIAL P2;22;13
ROTA 06 - 2T ESPECIAL VC IDA;Ida;2T Especial;32;29
ROTA 06 - 2T ESPECIAL VC VOLTA;Volta;2T Especial;32;28
ROTA 06 - 2T ESPECIAL XX P2 IDA;Ida;2T ESPECIAL P2;32;18
ROTA 06 - 2T ESPECIAL XX P2 VOLTA;Volta;2T ESPECIAL P2;32;18
ROTA 06 - 2T NORMAL JC IDA;Ida;2T Normal LSL;31;30
ROTA 06 - 2T NORMAL JC VOLTA;Volta;2T Normal LSL;31;28
ROTA 06 - 2T NORMAL LSL XX P2 IDA;Ida;2T NORMAL LSL P2;22;19
ROTA 06 - 2T NORMAL LSL XX P2 VOLTA;Volta;2T NORMAL LSL P2;22;19
ROTA 06 - 2T NORMAL TM IDA;Ida;2T Normal;32;33
ROTA 06 - 2T NORMAL TM VOLTA;Volta;2T Normal;32;33
ROTA 06 - 2T NORMAL XX P2 IDA;Ida;2T NORMAL P2;22;20
ROTA 06 - 2T NORMAL XX P2 VOLTA;Volta;2T NORMAL P2;32;20
ROTA 06 - 3T ESPECIAL ED IDA;Ida;3T Especial;32;31
ROTA 06 - 3T ESPECIAL ED VOLTA;Volta;3T Especial;32;31
ROTA 06 - 3T ESPECIAL XX P2 IDA;Ida;3T ESPECIAL P2;32;29
ROTA 06 - 3T ESPECIAL XX P2 VOLTA;Volta;3T ESPECIAL P2;32;29
ROTA 06 - ADM ED VOLTA;Volta;ADM;32;31
ROTA 06 - ADM JC IDA;Ida;ADM LSL;44;41
ROTA 06 - ADM JC VOLTA;Volta;ADM LSL;44;39
ROTA 06 - ADM LSL XX P2 IDA;Ida;ADM LSL P2;22;10
ROTA 06 - ADM LSL XX P2 VOLTA;Volta;ADM LSL P2;32;0
ROTA 06 - ADM VC IDA;Ida;ADM;44;41
ROTA 06 - ADM XX P2 IDA;Ida;ADM P2;44;34
ROTA 06 - ADM XX P2 VOLTA;Volta;ADM P2;32;26
ROTA 06 - APRENDIZ ED IDA;Ida;Aprendiz;22;12
ROTA 06 - APRENDIZ TV VOLTA;Volta;Aprendiz;15;14
ROTA 06 - CRECHE ADM VC IDA;Ida;Creche ADM;15;7
ROTA 06 - CRECHE ADM VC VOLTA;Volta;Creche ADM;22;9
ROTA 06 - ESTAGIARIO ED VOLTA;Volta;Estagiário ;23;9
ROTA 07 - 1T ESPECIAL TM IDA;Ida;1T Especial;32;25
ROTA 07 - 1T ESPECIAL TM VOLTA;Volta;1T Especial;32;41
ROTA 07 - 1T ESPECIAL XX P2 IDA;Ida;1T ESPECIAL P2;22;8
ROTA 07 - 1T ESPECIAL XX P2 VOLTA;Volta;1T ESPECIAL P2;22;8
ROTA 07 - 2T ESPECIAL VC IDA;Ida;2T Especial;32;31
ROTA 07 - 2T ESPECIAL VC VOLTA;Volta;2T Especial;32;31
ROTA 07 - 2T ESPECIAL XX P2 IDA;Ida;2T ESPECIAL P2;22;13
ROTA 07 - 2T ESPECIAL XX P2 VOLTA;Volta;2T ESPECIAL P2;22;13
ROTA 07 - 2T NORMAL JC IDA;Ida;2T Normal LSL;32;31
ROTA 07 - 2T NORMAL JC VOLTA;Volta;2T Normal LSL;32;30
ROTA 07 - 2T NORMAL LSL XX P2 IDA;Ida;2T NORMAL LSL P2;32;27
ROTA 07 - 2T NORMAL LSL XX P2 VOLTA;Volta;2T NORMAL LSL P2;32;27
ROTA 07 - 2T NORMAL VC IDA;Ida;2T Normal;32;33
ROTA 07 - 2T NORMAL VC VOLTA;Volta;2T Normal;32;33
ROTA 07 - 2T NORMAL XX P2 IDA;Ida;2T NORMAL P2;22;21
ROTA 07 - 2T NORMAL XX P2 VOLTA;Volta;2T NORMAL P2;32;21
ROTA 07 - 3T ESPECIAL ED IDA;Ida;3T Especial;22;29
ROTA 07 - 3T ESPECIAL ED VOLTA;Volta;3T Especial;22;29
ROTA 07 - 3T ESPECIAL XX P2 IDA;Ida;3T ESPECIAL P2;32;22
ROTA 07 - 3T ESPECIAL XX P2 VOLTA;Volta;3T ESPECIAL P2;32;22
ROTA 07 - ADM JC IDA;Ida;ADM LSL;44;39
ROTA 07 - ADM JC VOLTA;Volta;ADM LSL;44;29
ROTA 07 - ADM LSL XX P2 IDA;Ida;ADM LSL P2;22;14
ROTA 07 - ADM LSL XX P2 VOLTA;Volta;ADM LSL P2;32;0
ROTA 07 - ADM VC IDA;Ida;ADM;44;29
ROTA 07 - ADM VC VOLTA;Volta;ADM;32;22
ROTA 07 - ADM XX P2 IDA;Ida;ADM P2;44;38
ROTA 07 - ADM XX P2 VOLTA;Volta;ADM P2;32;32
ROTA 07 - APRENDIZ ED IDA;Ida;Aprendiz;22;28
ROTA 07 - APRENDIZ TM VOLTA;Volta;Aprendiz;22;19
ROTA 07 - CRECHE ADM ED IDA;Ida;Creche ADM;22;7
ROTA 07 - CRECHE ADM ED VOLTA;Volta;Creche ADM;22;6
ROTA 07 - ESTAGIARIO VC VOLTA;Volta;Estagiário ;22;11
ROTA 08 - 1T ESPECIAL ED IDA;Ida;1T Especial;32;22
ROTA 08 - 1T ESPECIAL ED VOLTA;Volta;1T Especial;32;28
ROTA 08 - 1T ESPECIAL XX P2 IDA;Ida;1T ESPECIAL P2;22;19
ROTA 08 - 1T ESPECIAL XX P2 VOLTA;Volta;1T ESPECIAL P2;22;19
ROTA 08 - 2T ESPECIAL TV IDA;Ida;2T Especial;22;19
ROTA 08 - 2T ESPECIAL TV VOLTA;Volta;2T Especial;22;19
ROTA 08 - 2T ESPECIAL XX P2 IDA;Ida;2T ESPECIAL P2;15;7
ROTA 08 - 2T ESPECIAL XX P2 VOLTA;Volta;2T ESPECIAL P2;15;7
ROTA 08 - 2T NORMAL JC IDA;Ida;2T Normal LSL;44;36
ROTA 08 - 2T NORMAL JC VOLTA;Volta;2T Normal LSL;44;39
ROTA 08 - 2T NORMAL LSL XX P2 IDA;Ida;2T NORMAL LSL P2;22;18
ROTA 08 - 2T NORMAL LSL XX P2 VOLTA;Volta;2T NORMAL LSL P2;22;18
ROTA 08 - 2T NORMAL VC IDA;Ida;2T Normal;32;27
ROTA 08 - 2T NORMAL VC VOLTA;Volta;2T Normal;32;28
ROTA 08 - 2T NORMAL XX P2 IDA;Ida;2T NORMAL P2;32;29
ROTA 08 - 2T NORMAL XX P2 VOLTA;Volta;2T NORMAL P2;32;29
ROTA 08 - 3T ESPECIAL ED IDA;Ida;3T Especial;32;29
ROTA 08 - 3T ESPECIAL ED VOLTA;Volta;3T Especial;32;30
ROTA 08 - 3T ESPECIAL XX P2 IDA;Ida;3T ESPECIAL P2;22;18
ROTA 08 - 3T ESPECIAL XX P2 VOLTA;Volta;3T ESPECIAL P2;22;18
ROTA 08 - ADM JC IDA;Ida;ADM LSL;31;34
ROTA 08 - ADM JC VOLTA;Volta;ADM LSL;31;32
ROTA 08 - ADM LSL XX P2 IDA;Ida;ADM LSL P2;22;11
ROTA 08 - ADM LSL XX P2 VOLTA;Volta;ADM LSL P2;22;11
ROTA 08 - ADM TV VOLTA;Volta;ADM;22;21
ROTA 08 - ADM VC IDA;Ida;ADM;44;26
ROTA 08 - ADM XX P2 IDA;Ida;ADM P2;32;23
ROTA 08 - ADM XX P2 VOLTA;Volta;ADM P2;32;31
ROTA 08 - APRENDIZ ED IDA;Ida;Aprendiz;22;6
ROTA 08 - APRENDIZ TV VOLTA;Volta;Aprendiz;22;21
ROTA 08 - CRECHE ADM ED VOLTA;Volta;Creche ADM;22;6
ROTA 08 - CRECHE ADM VC IDA;Ida;Creche ADM;15;7
ROTA 08 - ESTAGIARIO VC VOLTA;Volta;Estagiário ;22;15
ROTA 09 - 1T ESPECIAL ED IDA;Ida;1T Especial;32;37
ROTA 09 - 1T ESPECIAL ED VOLTA;Volta;1T Especial;32;55
ROTA 09 - 1T ESPECIAL XX P2 IDA;Ida;1T ESPECIAL P2;32;24
ROTA 09 - 1T ESPECIAL XX P2 VOLTA;Volta;1T ESPECIAL P2;32;24
ROTA 09 - 2T ESPECIAL VC IDA;Ida;2T Especial;32;27
ROTA 09 - 2T ESPECIAL VC VOLTA;Volta;2T Especial;32;27
ROTA 09 - 2T ESPECIAL XX P2 IDA;Ida;2T ESPECIAL P2;32;24
ROTA 09 - 2T ESPECIAL XX P2 VOLTA;Volta;2T ESPECIAL P2;32;24
ROTA 09 - 2T NORMAL JC IDA;Ida;2T Normal LSL;44;38
ROTA 09 - 2T NORMAL JC VOLTA;Volta;2T Normal LSL;44;35
ROTA 09 - 2T NORMAL LSL XX P2 IDA;Ida;2T NORMAL LSL P2;22;19
ROTA 09 - 2T NORMAL LSL XX P2 VOLTA;Volta;2T NORMAL LSL P2;22;19
ROTA 09 - 2T NORMAL VC IDA;Ida;2T Normal;32;21
ROTA 09 - 2T NORMAL VC VOLTA;Volta;2T Normal;32;21
ROTA 09 - 2T NORMAL XX P2 IDA;Ida;2T NORMAL P2;22;17
ROTA 09 - 2T NORMAL XX P2 VOLTA;Volta;2T NORMAL P2;32;17
ROTA 09 - 3T ESPECIAL ED IDA;Ida;3T Especial;32;30
ROTA 09 - 3T ESPECIAL ED VOLTA;Volta;3T Especial;32;30
ROTA 09 - 3T ESPECIAL XX P2 IDA;Ida;3T ESPECIAL P2;32;22
ROTA 09 - 3T ESPECIAL XX P2 VOLTA;Volta;3T ESPECIAL P2;32;22
ROTA 09 - ADM JC IDA;Ida;ADM LSL;31;34
ROTA 09 - ADM JC VOLTA;Volta;ADM LSL;31;32
ROTA 09 - ADM LSL XX P2 IDA;Ida;ADM LSL P2;32;25
ROTA 09 - ADM LSL XX P2 VOLTA;Volta;ADM LSL P2;32;0
ROTA 09 - ADM VC IDA;Ida;ADM;44;42
ROTA 09 - ADM VC VOLTA;Volta;ADM;44;24
ROTA 09 - ADM XX P2 IDA;Ida;ADM P2;44;29
ROTA 09 - ADM XX P2 VOLTA;Volta;ADM P2;32;25
ROTA 09 - APRENDIZ TV VOLTA;Volta;Aprendiz;22;20
ROTA 09 - APRENDIZ VC IDA;Ida;Aprendiz;15;12
ROTA 09 - CRECHE ADM ED IDA;Ida;Creche ADM;22;12
ROTA 09 - CRECHE ADM ED VOLTA;Volta;Creche ADM;22;10
ROTA 09 - ESTAGIARIO TV VOLTA;Volta;Estagiário ;22;12
ROTA 100 - ADM VC IDA;Ida;ADM;44;38
ROTA 101 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;32;22
ROTA 101 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;32;22
ROTA 101 - ADM VC IDA;Ida;ADM;32;33
ROTA 10 - 1T ESPECIAL ED IDA;Ida;1T Especial;32;17
ROTA 10 - 1T ESPECIAL ED VOLTA;Volta;1T Especial;32;21
ROTA 10 - 1T ESPECIAL XX P2 IDA;Ida;1T ESPECIAL P2;32;27
ROTA 10 - 1T ESPECIAL XX P2 VOLTA;Volta;1T ESPECIAL P2;32;27
ROTA 102 - 2T NORMAL XX P7 IDA;Ida;2T NORMAL P7;22;18
ROTA 102 - 2T NORMAL XX P7 VOLTA;Volta;2T NORMAL P7;22;18
ROTA 102 - ADM VC IDA;Ida;ADM;44;29
